date,time,loghost,process,accessType,ip
2010-06-22,03:17:35,combo,sshd(pam_unix)[16210],unauthorized,219.076.184.117
2010-06-22,03:17:36,combo,sshd(pam_unix)[16212],unauthorized,219.076.184.117
2010-06-22,03:17:36,combo,sshd(pam_unix)[16213],unauthorized,219.076.184.117
2010-06-22,03:17:45,combo,sshd(pam_unix)[16216],unauthorized,219.076.184.117
2010-06-22,03:17:46,combo,sshd(pam_unix)[16218],unauthorized,219.076.184.117
2010-06-22,03:17:46,combo,sshd(pam_unix)[16219],unauthorized,219.076.184.117
2010-06-22,03:17:52,combo,sshd(pam_unix)[16222],unauthorized,219.076.184.117
2010-06-22,03:17:55,combo,sshd(pam_unix)[16224],unauthorized,219.076.184.117
2010-06-22,03:17:56,combo,sshd(pam_unix)[16226],unauthorized,219.076.184.117
2010-06-22,03:17:56,combo,sshd(pam_unix)[16227],unauthorized,219.076.184.117
2010-06-22,03:18:02,combo,sshd(pam_unix)[16230],unauthorized,219.076.184.117
2010-06-22,03:18:05,combo,sshd(pam_unix)[16232],unauthorized,219.076.184.117
2010-06-22,03:18:06,combo,sshd(pam_unix)[16234],unauthorized,219.076.184.117
2010-06-22,03:18:06,combo,sshd(pam_unix)[16235],unauthorized,219.076.184.117
2010-06-22,03:18:10,combo,sshd(pam_unix)[16238],unauthorized,219.076.184.117
2010-06-22,03:18:12,combo,sshd(pam_unix)[16240],unauthorized,219.076.184.117
2010-06-22,03:18:15,combo,sshd(pam_unix)[16242],unauthorized,219.076.184.117
2010-06-22,03:18:16,combo,sshd(pam_unix)[16244],unauthorized,219.076.184.117
2010-06-22,03:18:16,combo,sshd(pam_unix)[16245],unauthorized,219.076.184.117
2010-06-22,03:18:20,combo,sshd(pam_unix)[16248],unauthorized,219.076.184.117
2010-06-22,03:18:22,combo,sshd(pam_unix)[16250],unauthorized,219.076.184.117
2010-06-22,04:30:55,combo,sshd(pam_unix)[17129],unauthorized,216.69.169.168
2010-06-22,04:30:55,combo,sshd(pam_unix)[17125],unauthorized,216.69.169.168
2010-06-22,04:30:55,combo,sshd(pam_unix)[17124],unauthorized,216.69.169.168
2010-06-22,04:30:55,combo,sshd(pam_unix)[17123],unauthorized,216.69.169.168
2010-06-22,04:30:55,combo,sshd(pam_unix)[17132],unauthorized,216.69.169.168
2010-06-22,04:30:55,combo,sshd(pam_unix)[17131],unauthorized,216.69.169.168
2010-06-22,04:30:55,combo,sshd(pam_unix)[17135],unauthorized,216.69.169.168
2010-06-22,04:30:55,combo,sshd(pam_unix)[17137],unauthorized,216.69.169.168
2010-06-22,04:30:56,combo,sshd(pam_unix)[17139],unauthorized,216.69.169.168
2010-06-22,04:30:56,combo,sshd(pam_unix)[17140],unauthorized,216.69.169.168
2010-06-22,13:16:30,combo,ftpd[17886],authorized,210.245.165.136
2010-06-22,13:16:30,combo,ftpd[17889],authorized,210.245.165.136
2010-06-22,13:16:30,combo,ftpd[17887],authorized,210.245.165.136
2010-06-22,13:16:30,combo,ftpd[17888],authorized,210.245.165.136
2010-06-22,13:16:30,combo,ftpd[17890],authorized,210.245.165.136
2010-06-22,13:16:30,combo,ftpd[17893],authorized,210.245.165.136
2010-06-22,13:16:30,combo,ftpd[17879],authorized,210.245.165.136
2010-06-22,13:16:30,combo,ftpd[17892],authorized,210.245.165.136
2010-06-22,13:16:30,combo,ftpd[17876],authorized,210.245.165.136
2010-06-22,13:16:30,combo,ftpd[17875],authorized,210.245.165.136
2010-06-22,13:16:30,combo,ftpd[17877],authorized,210.245.165.136
2010-06-22,13:16:30,combo,ftpd[17874],authorized,210.245.165.136
2010-06-22,13:16:30,combo,ftpd[17882],authorized,210.245.165.136
2010-06-22,13:16:30,combo,ftpd[17872],authorized,210.245.165.136
2010-06-22,13:16:30,combo,ftpd[17881],authorized,210.245.165.136
2010-06-22,13:16:30,combo,ftpd[17878],authorized,210.245.165.136
2010-06-22,13:16:31,combo,ftpd[17873],authorized,210.245.165.136
2010-06-22,13:16:31,combo,ftpd[17885],authorized,210.245.165.136
2010-06-22,13:16:31,combo,ftpd[17884],authorized,210.245.165.136
2010-06-22,13:16:31,combo,ftpd[17880],authorized,210.245.165.136
2010-06-22,13:16:31,combo,ftpd[17883],authorized,210.245.165.136
2010-06-22,13:16:31,combo,ftpd[17891],authorized,210.245.165.136
2010-06-22,13:16:32,combo,ftpd[17894],authorized,210.245.165.136
2010-06-23,01:41:29,combo,sshd(pam_unix)[18969],unauthorized,209.152.168.249
2010-06-23,01:41:29,combo,sshd(pam_unix)[18971],unauthorized,209.152.168.249
2010-06-23,01:41:29,combo,sshd(pam_unix)[18973],unauthorized,209.152.168.249
2010-06-23,01:41:29,combo,sshd(pam_unix)[18975],unauthorized,209.152.168.249
2010-06-23,01:41:29,combo,sshd(pam_unix)[18977],unauthorized,209.152.168.249
2010-06-23,01:41:30,combo,sshd(pam_unix)[18983],unauthorized,209.152.168.249
2010-06-23,01:41:30,combo,sshd(pam_unix)[18982],unauthorized,209.152.168.249
2010-06-23,01:41:30,combo,sshd(pam_unix)[18981],unauthorized,209.152.168.249
2010-06-23,01:41:30,combo,sshd(pam_unix)[18976],unauthorized,209.152.168.249
2010-06-23,01:41:32,combo,sshd(pam_unix)[18967],unauthorized,209.152.168.249
2010-06-23,02:55:14,combo,sshd(pam_unix)[19085],unauthorized,200.60.37.201
2010-06-23,23:30:03,combo,sshd(pam_unix)[26189],unauthorized,218.22.3.51
2010-06-23,23:30:03,combo,sshd(pam_unix)[26188],unauthorized,218.22.3.51
2010-06-23,23:30:04,combo,sshd(pam_unix)[26193],unauthorized,218.22.3.51
2010-06-23,23:30:04,combo,sshd(pam_unix)[26182],unauthorized,218.22.3.51
2010-06-23,23:30:04,combo,sshd(pam_unix)[26183],unauthorized,218.22.3.51
2010-06-23,23:30:04,combo,sshd(pam_unix)[26184],unauthorized,218.22.3.51
2010-06-23,23:30:05,combo,sshd(pam_unix)[26197],unauthorized,218.22.3.51
2010-06-23,23:30:05,combo,sshd(pam_unix)[26198],unauthorized,218.22.3.51
2010-06-23,23:30:05,combo,sshd(pam_unix)[26190],unauthorized,218.22.3.51
2010-06-24,18:55:11,combo,ftpd[28568],authorized,218.69.108.57
2010-06-24,18:55:11,combo,ftpd[28566],authorized,218.69.108.57
2010-06-24,18:55:11,combo,ftpd[28562],authorized,218.69.108.57
2010-06-24,18:55:11,combo,ftpd[28563],authorized,218.69.108.57
2010-06-24,18:55:11,combo,ftpd[28565],authorized,218.69.108.57
2010-06-24,18:55:11,combo,ftpd[28564],authorized,218.69.108.57
2010-06-24,18:55:11,combo,ftpd[28567],authorized,218.69.108.57
2010-06-24,18:55:18,combo,ftpd[28570],authorized,218.69.108.57
2010-06-24,18:55:18,combo,ftpd[28571],authorized,218.69.108.57
2010-06-24,18:55:18,combo,ftpd[28569],authorized,218.69.108.57
2010-06-24,18:55:18,combo,ftpd[28572],authorized,218.69.108.57
2010-06-24,18:55:18,combo,ftpd[28574],authorized,218.69.108.57
2010-06-24,18:55:18,combo,ftpd[28573],authorized,218.69.108.57
2010-06-25,04:41:49,combo,sshd(pam_unix)[31031],unauthorized,
2010-06-25,04:41:49,combo,sshd(pam_unix)[31035],unauthorized,
2010-06-25,04:41:49,combo,sshd(pam_unix)[31034],unauthorized,
2010-06-25,04:41:49,combo,sshd(pam_unix)[31036],unauthorized,
2010-06-25,04:41:51,combo,sshd(pam_unix)[31025],unauthorized,
2010-06-25,04:41:51,combo,sshd(pam_unix)[31028],unauthorized,
2010-06-25,04:41:51,combo,sshd(pam_unix)[31020],unauthorized,
2010-06-25,04:41:51,combo,sshd(pam_unix)[31027],unauthorized,
2010-06-25,04:41:51,combo,sshd(pam_unix)[31021],unauthorized,
2010-06-25,04:41:51,combo,sshd(pam_unix)[31024],unauthorized,
2010-06-25,09:20:24,combo,ftpd[31475],authorized,210.118.170.95
2010-06-25,09:20:24,combo,ftpd[31477],authorized,210.118.170.95
2010-06-25,09:20:24,combo,ftpd[31474],authorized,210.118.170.95
2010-06-25,09:20:24,combo,ftpd[31476],authorized,210.118.170.95
2010-06-25,09:20:24,combo,ftpd[31473],authorized,210.118.170.95
2010-06-25,09:20:24,combo,ftpd[31467],authorized,210.118.170.95
2010-06-25,09:20:24,combo,ftpd[31470],authorized,210.118.170.95
2010-06-25,09:20:24,combo,ftpd[31465],authorized,210.118.170.95
2010-06-25,09:20:24,combo,ftpd[31472],authorized,210.118.170.95
2010-06-25,09:20:24,combo,ftpd[31468],authorized,210.118.170.95
2010-06-25,09:20:24,combo,ftpd[31463],authorized,210.118.170.95
2010-06-25,09:20:24,combo,ftpd[31471],authorized,210.118.170.95
2010-06-25,09:20:24,combo,ftpd[31469],authorized,210.118.170.95
2010-06-25,09:20:24,combo,ftpd[31462],authorized,210.118.170.95
2010-06-25,09:20:24,combo,ftpd[31464],authorized,210.118.170.95
2010-06-25,09:20:24,combo,ftpd[31466],authorized,210.118.170.95
2010-06-25,09:20:24,combo,ftpd[31461],authorized,210.118.170.95
2010-06-25,09:20:24,combo,ftpd[31460],authorized,210.118.170.95
2010-06-25,19:25:30,combo,ftpd[32328],authorized,211.167.68.59
2010-06-25,19:25:30,combo,ftpd[32329],authorized,211.167.68.59
2010-06-25,19:25:30,combo,ftpd[32324],authorized,211.167.68.59
2010-06-25,19:25:30,combo,ftpd[32326],authorized,211.167.68.59
2010-06-25,19:25:30,combo,ftpd[32323],authorized,211.167.68.59
2010-06-25,19:25:30,combo,ftpd[32327],authorized,211.167.68.59
2010-06-25,19:25:30,combo,ftpd[32325],authorized,211.167.68.59
2010-06-25,19:25:30,combo,ftpd[32331],authorized,211.167.68.59
2010-06-25,19:25:30,combo,ftpd[32330],authorized,211.167.68.59
2010-06-25,19:25:31,combo,ftpd[32333],authorized,211.167.68.59
2010-06-25,19:25:31,combo,ftpd[32332],authorized,211.167.68.59
2010-06-25,19:25:31,combo,ftpd[32334],authorized,211.167.68.59
2010-06-25,19:25:34,combo,ftpd[32335],authorized,211.167.68.59
2010-06-27,08:05:37,combo,sshd(pam_unix)[8660],unauthorized,
2010-06-27,08:05:39,combo,sshd(pam_unix)[8664],unauthorized,
2010-06-27,08:05:39,combo,sshd(pam_unix)[8663],unauthorized,
2010-06-27,08:05:39,combo,sshd(pam_unix)[8662],unauthorized,
2010-06-27,08:05:39,combo,sshd(pam_unix)[8661],unauthorized,
2010-06-28,08:10:24,combo,sshd(pam_unix)[11513],unauthorized,61.53.154.93
2010-06-28,08:10:24,combo,sshd(pam_unix)[11517],unauthorized,61.53.154.93
2010-06-28,08:10:24,combo,sshd(pam_unix)[11521],unauthorized,61.53.154.93
2010-06-28,08:10:24,combo,sshd(pam_unix)[11510],unauthorized,61.53.154.93
2010-06-28,08:10:25,combo,sshd(pam_unix)[11519],unauthorized,61.53.154.93
2010-06-28,08:10:26,combo,sshd(pam_unix)[11514],unauthorized,61.53.154.93
2010-06-28,08:10:28,combo,sshd(pam_unix)[11512],unauthorized,61.53.154.93
2010-06-28,08:10:29,combo,sshd(pam_unix)[11509],unauthorized,61.53.154.93
2010-06-28,08:10:30,combo,sshd(pam_unix)[11515],unauthorized,61.53.154.93
2010-06-28,20:58:46,combo,sshd(pam_unix)[12665],unauthorized,62.192.102.94
2010-06-28,20:58:46,combo,sshd(pam_unix)[12666],unauthorized,62.192.102.94
2010-06-28,20:58:47,combo,sshd(pam_unix)[12669],unauthorized,62.192.102.94
2010-06-28,20:58:50,combo,sshd(pam_unix)[12671],unauthorized,62.192.102.94
2010-06-28,20:58:52,combo,sshd(pam_unix)[12673],unauthorized,62.192.102.94
2010-06-28,20:58:53,combo,sshd(pam_unix)[12675],unauthorized,62.192.102.94
2010-06-28,20:58:53,combo,sshd(pam_unix)[12677],unauthorized,62.192.102.94
2010-06-28,20:58:55,combo,sshd(pam_unix)[12679],unauthorized,62.192.102.94
2010-06-28,20:58:55,combo,sshd(pam_unix)[12681],unauthorized,62.192.102.94
2010-06-28,20:58:55,combo,sshd(pam_unix)[12680],unauthorized,62.192.102.94
2010-06-28,21:42:46,combo,sshd(pam_unix)[12756],unauthorized,211.115.206.155
2010-06-28,21:42:46,combo,sshd(pam_unix)[12753],unauthorized,211.115.206.155
2010-06-28,21:42:46,combo,sshd(pam_unix)[12752],unauthorized,211.115.206.155
2010-06-28,21:42:46,combo,sshd(pam_unix)[12755],unauthorized,211.115.206.155
2010-06-28,21:42:46,combo,sshd(pam_unix)[12754],unauthorized,211.115.206.155
2010-06-29,03:22:22,combo,ftpd[13262],authorized,61.74.96.178
2010-06-29,03:22:22,combo,ftpd[13257],authorized,61.74.96.178
2010-06-29,03:22:22,combo,ftpd[13261],authorized,61.74.96.178
2010-06-29,03:22:22,combo,ftpd[13250],authorized,61.74.96.178
2010-06-29,03:22:22,combo,ftpd[13252],authorized,61.74.96.178
2010-06-29,03:22:22,combo,ftpd[13260],authorized,61.74.96.178
2010-06-29,03:22:22,combo,ftpd[13259],authorized,61.74.96.178
2010-06-29,03:22:22,combo,ftpd[13256],authorized,61.74.96.178
2010-06-29,03:22:22,combo,ftpd[13258],authorized,61.74.96.178
2010-06-29,03:22:22,combo,ftpd[13255],authorized,61.74.96.178
2010-06-29,03:22:22,combo,ftpd[13254],authorized,61.74.96.178
2010-06-29,03:22:22,combo,ftpd[13264],authorized,61.74.96.178
2010-06-29,03:22:22,combo,ftpd[13251],authorized,61.74.96.178
2010-06-29,03:22:22,combo,ftpd[13263],authorized,61.74.96.178
2010-06-29,03:22:22,combo,ftpd[13245],authorized,61.74.96.178
2010-06-29,03:22:22,combo,ftpd[13246],authorized,61.74.96.178
2010-06-29,03:22:22,combo,ftpd[13244],authorized,61.74.96.178
2010-06-29,03:22:22,combo,ftpd[13243],authorized,61.74.96.178
2010-06-29,03:22:22,combo,ftpd[13249],authorized,61.74.96.178
2010-06-29,03:22:22,combo,ftpd[13253],authorized,61.74.96.178
2010-06-29,03:22:22,combo,ftpd[13247],authorized,61.74.96.178
2010-06-29,03:22:22,combo,ftpd[13248],authorized,61.74.96.178
2010-06-29,03:22:23,combo,ftpd[13265],authorized,61.74.96.178
2010-06-29,10:08:19,combo,sshd(pam_unix)[15481],unauthorized,
2010-06-29,10:08:19,combo,sshd(pam_unix)[15477],unauthorized,
2010-06-29,10:08:19,combo,sshd(pam_unix)[15479],unauthorized,
2010-06-29,10:08:19,combo,sshd(pam_unix)[15478],unauthorized,
2010-06-29,10:08:19,combo,sshd(pam_unix)[15480],unauthorized,
2010-06-29,10:08:19,combo,sshd(pam_unix)[15476],unauthorized,
2010-06-29,10:08:19,combo,sshd(pam_unix)[15488],unauthorized,
2010-06-29,10:08:20,combo,sshd(pam_unix)[15490],unauthorized,
2010-06-29,10:08:20,combo,sshd(pam_unix)[15491],unauthorized,
2010-06-29,10:08:20,combo,sshd(pam_unix)[15492],unauthorized,
2010-06-29,10:48:01,combo,ftpd[15547],authorized,208.62.55.75
2010-06-29,10:48:01,combo,ftpd[15543],authorized,208.62.55.75
2010-06-29,10:48:01,combo,ftpd[15546],authorized,208.62.55.75
2010-06-29,10:48:01,combo,ftpd[15542],authorized,208.62.55.75
2010-06-29,10:48:01,combo,ftpd[15544],authorized,208.62.55.75
2010-06-29,10:48:01,combo,ftpd[15545],authorized,208.62.55.75
2010-06-29,10:48:05,combo,ftpd[15548],authorized,208.62.55.75
2010-06-29,10:48:06,combo,ftpd[15549],authorized,208.62.55.75
2010-06-29,10:48:06,combo,ftpd[15550],authorized,208.62.55.75
2010-06-29,10:48:06,combo,ftpd[15551],authorized,208.62.55.75
2010-06-29,10:48:08,combo,ftpd[15552],authorized,208.62.55.75
2010-06-29,10:48:08,combo,ftpd[15553],authorized,208.62.55.75
2010-06-29,10:48:08,combo,ftpd[15554],authorized,208.62.55.75
2010-06-29,10:48:10,combo,ftpd[15555],authorized,208.62.55.75
2010-06-29,10:48:12,combo,ftpd[15556],authorized,208.62.55.75
2010-06-29,10:48:12,combo,ftpd[15557],authorized,208.62.55.75
2010-06-29,10:48:13,combo,ftpd[15558],authorized,208.62.55.75
2010-06-29,10:48:15,combo,ftpd[15559],authorized,208.62.55.75
2010-06-29,10:48:17,combo,ftpd[15560],authorized,208.62.55.75
2010-06-29,10:48:17,combo,ftpd[15561],authorized,208.62.55.75
2010-06-29,10:48:18,combo,ftpd[15562],authorized,208.62.55.75
2010-06-29,10:48:20,combo,ftpd[15563],authorized,208.62.55.75
2010-06-29,10:48:21,combo,ftpd[15564],authorized,208.62.55.75
2010-06-29,12:11:53,combo,sshd(pam_unix)[15692],unauthorized,64.187.1.131
2010-06-29,12:11:55,combo,sshd(pam_unix)[15694],unauthorized,64.187.1.131
2010-06-29,12:11:57,combo,sshd(pam_unix)[15696],unauthorized,64.187.1.131
2010-06-29,12:11:59,combo,sshd(pam_unix)[15698],unauthorized,64.187.1.131
2010-06-29,12:11:59,combo,sshd(pam_unix)[15700],unauthorized,64.187.1.131
2010-06-29,12:12:01,combo,sshd(pam_unix)[15702],unauthorized,64.187.1.131
2010-06-29,12:12:02,combo,sshd(pam_unix)[15704],unauthorized,64.187.1.131
2010-06-29,12:12:03,combo,sshd(pam_unix)[15706],unauthorized,64.187.1.131
2010-06-29,12:12:03,combo,sshd(pam_unix)[15708],unauthorized,64.187.1.131
2010-06-29,12:12:05,combo,sshd(pam_unix)[15710],unauthorized,64.187.1.131
2010-06-29,12:12:05,combo,sshd(pam_unix)[15712],unauthorized,64.187.1.131
2010-06-29,12:12:06,combo,sshd(pam_unix)[15714],unauthorized,64.187.1.131
2010-06-29,12:12:10,combo,sshd(pam_unix)[15716],unauthorized,64.187.1.131
2010-06-29,14:44:35,combo,ftpd[15917],authorized,210.223.97.117
2010-06-29,14:44:35,combo,ftpd[15922],authorized,210.223.97.117
2010-06-29,14:44:35,combo,ftpd[15918],authorized,210.223.97.117
2010-06-29,14:44:35,combo,ftpd[15919],authorized,210.223.97.117
2010-06-29,14:44:35,combo,ftpd[15923],authorized,210.223.97.117
2010-06-29,14:44:35,combo,ftpd[15920],authorized,210.223.97.117
2010-06-29,14:44:35,combo,ftpd[15921],authorized,210.223.97.117
2010-06-30,12:48:38,combo,sshd(pam_unix)[18559],unauthorized,
2010-06-30,12:48:41,combo,sshd(pam_unix)[18557],unauthorized,
2010-06-30,12:48:41,combo,sshd(pam_unix)[18550],unauthorized,
2010-06-30,12:48:41,combo,sshd(pam_unix)[18547],unauthorized,
2010-06-30,12:48:41,combo,sshd(pam_unix)[18549],unauthorized,
2010-06-30,12:48:41,combo,sshd(pam_unix)[18545],unauthorized,
2010-06-30,12:48:41,combo,sshd(pam_unix)[18548],unauthorized,
2010-06-30,12:48:41,combo,sshd(pam_unix)[18546],unauthorized,
2010-06-30,19:03:00,combo,sshd(pam_unix)[19088],unauthorized,60.30.224.116
